,Unnamed: 0,Equation Number,eqn,soln,metrics
0,0,0,"(1 / 2) = x
","(1 / 2) = x
|x = (1 / 2)|x = [1/2]",4
1,1,1,"(((-1) / x) * x) = -2x
","(((-1) / x) * x) = -2x
|((((-1) / x) * x) / (-2)) = (-2x / (-2))|((x * ((-1) / x)) / (-2)) = (-2x / (-2))|((x * ((-1) / x)) / (-2)) = ((x * (-2)) / (-2))|(((x * (-1)) / x) / (-2)) = ((x * (-2)) / (-2))|((-1x / x) / (-2)) = ((x * (-2)) / (-2))|((x * (-2)) / (-2)) = ((-1x / x) / (-2))|(x * ((-2) / (-2))) = ((-1x / x) / (-2))|(x * 1) = ((-1x / x) / (-2))|x = ((-1x / x) / (-2))|x = (((-1) * (x / x)) / (-2))|x = (((-1) * 1) / (-2))|x = ((-1) / (-2))|x = [1/2]",22
2,2,3,"(-1x + (-2)) = (-3x + (-4))
","(-1x + (-2)) = (-3x + (-4))
|((-1x + (-2)) - (-2)) = ((-3x + (-4)) - (-2))|(-1x + ((-2) - (-2))) = ((-3x + (-4)) - (-2))|(-1x + ((-2) - (-2))) = (((-4) + -3x) - (-2))|(-1x + 0) = (((-4) + -3x) - (-2))|((-1x + 0) - -3x) = ((((-4) + -3x) - (-2)) - -3x)|((-1x + 0) - -3x) = ((((-4) + -3x) - -3x) - (-2))|((-1x + 0) - -3x) = (((-4) + (-3x - -3x)) - (-2))|((-1x + 0) - -3x) = (((-4) + 0) - (-2))|((-1x + 0) - -3x) = ((-4) - (-2))|(-1x - -3x) = ((-4) - (-2))|(((-1) - (-3)) * x) = ((-4) - (-2))|2x = ((-4) - (-2))|(x * 2) = ((-4) - (-2))|((x * 2) / 2) = (((-4) - (-2)) / 2)|(x * (2 / 2)) = (((-4) - (-2)) / 2)|(x * 1) = (((-4) - (-2)) / 2)|x = (((-4) - (-2)) / 2)|x = ((-2) / 2)|x = (-1)",36
3,3,4,"(-1x + 2) = (-3x + 4)
","(-1x + 2) = (-3x + 4)
|((-1x + 2) - 2) = ((-3x + 4) - 2)|(((-1x + 2) - 2) - -3x) = (((-3x + 4) - 2) - -3x)|((-1x + (2 - 2)) - -3x) = (((-3x + 4) - 2) - -3x)|((-1x + 0) - -3x) = (((-3x + 4) - 2) - -3x)|((-1x + 0) - -3x) = ((-3x + (4 - 2)) - -3x)|((-1x + 0) - -3x) = (((4 - 2) + -3x) - -3x)|((-1x + 0) - -3x) = ((4 - 2) + (-3x - -3x))|((-1x + 0) - -3x) = ((4 - 2) + 0)|(-1x - -3x) = ((4 - 2) + 0)|(((-1) - (-3)) * x) = ((4 - 2) + 0)|2x = ((4 - 2) + 0)|(2x / 2) = (((4 - 2) + 0) / 2)|((x * 2) / 2) = (((4 - 2) + 0) / 2)|(x * (2 / 2)) = (((4 - 2) + 0) / 2)|(x * 1) = (((4 - 2) + 0) / 2)|x = (((4 - 2) + 0) / 2)|x = ((4 - 2) / 2)|x = (2 / 2)|x = 1",38
4,4,5,"(1x - 2) = -3x
","(1x - 2) = -3x
|((1x - 2) - 1x) = (-3x - 1x)|(-3x - 1x) = ((1x - 2) - 1x)|(((-3) - 1) * x) = ((1x - 2) - 1x)|(((-3) - 1) * x) = ((1x - 1x) - 2)|(((-3) - 1) * x) = (0 - 2)|-4x = (0 - 2)|(x * (-4)) = (0 - 2)|((x * (-4)) / (-4)) = ((0 - 2) / (-4))|(x * ((-4) / (-4))) = ((0 - 2) / (-4))|(x * 1) = ((0 - 2) / (-4))|x = ((0 - 2) / (-4))|x = ((-2) / (-4))|x = [1/2]",26
5,5,6,"1x = (((-2) + 3x) + 4)
","1x = (((-2) + 3x) + 4)
|1x = (4 + ((-2) + 3x))|1x = ((4 + (-2)) + 3x)|1x = (((-2) + 4) + 3x)|(1x - 3x) = ((((-2) + 4) + 3x) - 3x)|((1 - 3) * x) = ((((-2) + 4) + 3x) - 3x)|((1 - 3) * x) = (((-2) + 4) + (3x - 3x))|-2x = (((-2) + 4) + (3x - 3x))|(x * (-2)) = (((-2) + 4) + (3x - 3x))|(x * (-2)) = (((-2) + 4) + 0)|((x * (-2)) / (-2)) = ((((-2) + 4) + 0) / (-2))|(x * ((-2) / (-2))) = ((((-2) + 4) + 0) / (-2))|(x * 1) = ((((-2) + 4) + 0) / (-2))|x = ((((-2) + 4) + 0) / (-2))|x = ((2 + 0) / (-2))|x = (2 / (-2))|x = (-1)",32
6,6,7,"(-1) = ((-2) + ((-3) / x))
","(-1) = ((-2) + ((-3) / x))
|(-1) = (((-3) / x) + (-2))|((-1) - (-2)) = ((((-3) / x) + (-2)) - (-2))|1 = ((((-3) / x) + (-2)) - (-2))|1 = (((-3) / x) + ((-2) - (-2)))|1 = (((-3) / x) + 0)|1x = ((((-3) / x) + 0) * x)|1x = (x * (((-3) / x) + 0))|x = (x * (((-3) / x) + 0))|x = (x * ((-3) / x))|x = ((x * (-3)) / x)|x = (-3x / x)|x = ((-3) * (x / x))|x = ((-3) * 1)|x = (-3)",27
7,7,8,"(((-1) - (2 / x)) * x) = -3x
","(((-1) - (2 / x)) * x) = -3x
|(-1x - ((2 / x) * x)) = -3x|((-1x - ((2 / x) * x)) - -1x) = (-3x - -1x)|((-1x - (x * (2 / x))) - -1x) = (-3x - -1x)|((-1x - ((x * 2) / x)) - -1x) = (-3x - -1x)|((-1x - ((x * 2) / x)) - -1x) = (((-3) - (-1)) * x)|((-1x - (2x / x)) - -1x) = (((-3) - (-1)) * x)|((-1x - -1x) - (2x / x)) = (((-3) - (-1)) * x)|(0 - (2x / x)) = (((-3) - (-1)) * x)|(0 - (2 * (x / x))) = (((-3) - (-1)) * x)|(0 - (2 * 1)) = (((-3) - (-1)) * x)|(0 - (2 * 1)) = -2x|(0 - 2) = -2x|-2x = (0 - 2)|(x * (-2)) = (0 - 2)|((x * (-2)) / (-2)) = ((0 - 2) / (-2))|(x * ((-2) / (-2))) = ((0 - 2) / (-2))|(x * 1) = ((0 - 2) / (-2))|x = ((0 - 2) / (-2))|x = ((-2) / (-2))|x = 1",42
8,8,9,"(-1x / x) = -2x
","(-1x / x) = -2x
|((-1x / x) / (-2)) = (-2x / (-2))|((-1x / x) / (-2)) = ((x * (-2)) / (-2))|((x * (-2)) / (-2)) = ((-1x / x) / (-2))|(x * ((-2) / (-2))) = ((-1x / x) / (-2))|(x * 1) = ((-1x / x) / (-2))|x = ((-1x / x) / (-2))|x = (((-1) * (x / x)) / (-2))|x = (((-1) * 1) / (-2))|x = ((-1) / (-2))|x = [1/2]",18
9,9,10,"(-1x + (-2)) = ((-3) + -4x)
","(-1x + (-2)) = ((-3) + -4x)
|((-1x + (-2)) - (-2)) = (((-3) + -4x) - (-2))|(-1x + ((-2) - (-2))) = (((-3) + -4x) - (-2))|(-1x + 0) = (((-3) + -4x) - (-2))|((-1x + 0) - -4x) = ((((-3) + -4x) - (-2)) - -4x)|((-1x + 0) - -4x) = (((-4x + (-3)) - (-2)) - -4x)|((-1x + 0) - -4x) = ((-4x + ((-3) - (-2))) - -4x)|(-1x - -4x) = ((-4x + ((-3) - (-2))) - -4x)|(((-1) - (-4)) * x) = ((-4x + ((-3) - (-2))) - -4x)|(((-1) - (-4)) * x) = ((((-3) - (-2)) + -4x) - -4x)|3x = ((((-3) - (-2)) + -4x) - -4x)|3x = (((-3) - (-2)) + (-4x - -4x))|(x * 3) = (((-3) - (-2)) + (-4x - -4x))|(x * 3) = (((-3) - (-2)) + 0)|((x * 3) / 3) = ((((-3) - (-2)) + 0) / 3)|(x * (3 / 3)) = ((((-3) - (-2)) + 0) / 3)|(x * 1) = ((((-3) - (-2)) + 0) / 3)|x = ((((-3) - (-2)) + 0) / 3)|x = (((-1) + 0) / 3)|x = ((-1) / 3)|x = ([-1/3])",38
10,10,11,"((-1x - 2) + 3x) = (4x + 5x)
","((-1x - 2) + 3x) = (4x + 5x)
|(3x + (-1x - 2)) = (4x + 5x)|((3x + (-1x - 2)) - 5x) = ((4x + 5x) - 5x)|(((3x + -1x) - 2) - 5x) = ((4x + 5x) - 5x)|(((3x + -1x) - 2) - 5x) = (4x + (5x - 5x))|(4x + (5x - 5x)) = (((3x + -1x) - 2) - 5x)|(4x + 0) = (((3x + -1x) - 2) - 5x)|(4x + 0) = ((((3 + (-1)) * x) - 2) - 5x)|4x = ((((3 + (-1)) * x) - 2) - 5x)|4x = (((((-1) + 3) * x) - 2) - 5x)|4x = (((((-1) + 3) * x) - 5x) - 2)|4x = ((2x - 5x) - 2)|4x = (((2 - 5) * x) - 2)|4x = (((2 - 5) * x) + (-2))|4x = (((2 + (-5)) * x) + (-2))|4x = ((((-5) + 2) * x) + (-2))|4x = ((-2) + (((-5) + 2) * x))|4x = ((-2) + -3x)|(4x - -3x) = (((-2) + -3x) - -3x)|((4 - (-3)) * x) = (((-2) + -3x) - -3x)|((4 - (-3)) * x) = ((-2) + (-3x - -3x))|7x = ((-2) + (-3x - -3x))|(x * 7) = ((-2) + (-3x - -3x))|((x * 7) / 7) = (((-2) + (-3x - -3x)) / 7)|((x * 7) / 7) = (((-2) + 0) / 7)|(x * (7 / 7)) = (((-2) + 0) / 7)|(x * 1) = (((-2) + 0) / 7)|x = (((-2) + 0) / 7)|x = ((-2) / 7)|x = ([-2/7])",57
11,11,15,"((1 / x) + 2) = (-3)
","((1 / x) + 2) = (-3)
|(((1 / x) + 2) - 2) = ((-3) - 2)|((1 / x) + (2 - 2)) = ((-3) - 2)|((1 / x) + (2 - 2)) = (-5)|((1 / x) + 0) = (-5)|(((1 / x) + 0) / (-5)) = ((-5) / (-5))|((((1 / x) + 0) / (-5)) * x) = (((-5) / (-5)) * x)|((((1 / x) + 0) / (-5)) * x) = 1x|(x * (((1 / x) + 0) / (-5))) = 1x|(x * ((1 / x) / (-5))) = 1x|((x * (1 / x)) / (-5)) = 1x|(((x * 1) / x) / (-5)) = 1x|(((x * 1) / x) / (-5)) = x|x = (((x * 1) / x) / (-5))|x = ((x / x) / (-5))|x = (1 / (-5))|x = ([-1/5])",40
12,12,16,"(-1) = ((2 / x) + 3)
","(-1) = ((2 / x) + 3)
|((-1) - 3) = (((2 / x) + 3) - 3)|(-4) = (((2 / x) + 3) - 3)|((-4) / (-4)) = ((((2 / x) + 3) - 3) / (-4))|(((-4) / (-4)) * x) = (((((2 / x) + 3) - 3) / (-4)) * x)|1x = (((((2 / x) + 3) - 3) / (-4)) * x)|x = (((((2 / x) + 3) - 3) / (-4)) * x)|x = ((((2 / x) + (3 - 3)) / (-4)) * x)|x = ((((2 / x) + 0) / (-4)) * x)|x = (x * (((2 / x) + 0) / (-4)))|x = ((x * ((2 / x) + 0)) / (-4))|x = ((x * (2 / x)) / (-4))|x = (((x * 2) / x) / (-4))|x = ((2x / x) / (-4))|x = ((2 * (x / x)) / (-4))|x = ((2 * 1) / (-4))|x = (2 / (-4))|x = ([-1/2])",37
13,13,19,"(-1) = (2 + 3x)
","(-1) = (2 + 3x)
|((-1) - 2) = ((2 + 3x) - 2)|((-1) - 2) = ((3x + 2) - 2)|((3x + 2) - 2) = ((-1) - 2)|(3x + (2 - 2)) = ((-1) - 2)|((3x + (2 - 2)) / 3) = (((-1) - 2) / 3)|(((x * 3) + (2 - 2)) / 3) = (((-1) - 2) / 3)|(((x * 3) + 0) / 3) = (((-1) - 2) / 3)|((x * 3) / 3) = (((-1) - 2) / 3)|(x * (3 / 3)) = (((-1) - 2) / 3)|(x * 1) = (((-1) - 2) / 3)|x = (((-1) - 2) / 3)|x = ((-3) / 3)|x = (-1)",24
14,14,20,"(1x + (-2)) = (3 + -4x)
","(1x + (-2)) = (3 + -4x)
|((1x + (-2)) - (-2)) = ((3 + -4x) - (-2))|(((1x + (-2)) - (-2)) - -4x) = (((3 + -4x) - (-2)) - -4x)|(((1x + (-2)) - (-2)) - -4x) = (((3 + -4x) - -4x) - (-2))|((1x + ((-2) - (-2))) - -4x) = (((3 + -4x) - -4x) - (-2))|((1x + 0) - -4x) = (((3 + -4x) - -4x) - (-2))|((1x + 0) - -4x) = ((3 + (-4x - -4x)) - (-2))|((1x + 0) - -4x) = ((3 + 0) - (-2))|((1x + 0) - -4x) = (3 - (-2))|(1x - -4x) = (3 - (-2))|((1 - (-4)) * x) = (3 - (-2))|5x = (3 - (-2))|(5x / 5) = ((3 - (-2)) / 5)|((x * 5) / 5) = ((3 - (-2)) / 5)|(x * (5 / 5)) = ((3 - (-2)) / 5)|(x * 1) = ((3 - (-2)) / 5)|x = ((3 - (-2)) / 5)|x = (5 / 5)|x = 1",35
15,15,21,"((-1) / 2) = x
","((-1) / 2) = x
|x = ((-1) / 2)|x = ([-1/2])",4
16,16,22,"((-1) / x) = (-2)
","((-1) / x) = (-2)
|(((-1) / x) / (-2)) = ((-2) / (-2))|((((-1) / x) / (-2)) * x) = (((-2) / (-2)) * x)|((((-1) / x) / (-2)) * x) = 1x|(x * (((-1) / x) / (-2))) = 1x|((x * ((-1) / x)) / (-2)) = 1x|(((x * (-1)) / x) / (-2)) = 1x|((-1x / x) / (-2)) = 1x|((-1x / x) / (-2)) = x|x = ((-1x / x) / (-2))|x = (((-1) * (x / x)) / (-2))|x = (((-1) * 1) / (-2))|x = ((-1) / (-2))|x = [1/2]",32
17,17,24,"-1x = (2x + 3)
","-1x = (2x + 3)
|(-1x - 2x) = ((2x + 3) - 2x)|(-1x - 2x) = ((3 + 2x) - 2x)|(((-1) - 2) * x) = ((3 + 2x) - 2x)|(((-1) - 2) * x) = (3 + (2x - 2x))|(((-1) - 2) * x) = (3 + 0)|-3x = (3 + 0)|(x * (-3)) = (3 + 0)|(x * (-3)) = 3|((x * (-3)) / (-3)) = (3 / (-3))|(x * ((-3) / (-3))) = (3 / (-3))|(x * 1) = (3 / (-3))|x = (3 / (-3))|x = (-1)",26
18,18,25,"(1 + -2x) = (-3x + (-4))
","(1 + -2x) = (-3x + (-4))
|((1 + -2x) - (-4)) = ((-3x + (-4)) - (-4))|((-3x + (-4)) - (-4)) = ((1 + -2x) - (-4))|(((-3x + (-4)) - (-4)) - -2x) = (((1 + -2x) - (-4)) - -2x)|(((-3x + (-4)) - (-4)) - -2x) = (((1 + -2x) - -2x) - (-4))|((-3x + ((-4) - (-4))) - -2x) = (((1 + -2x) - -2x) - (-4))|((-3x + 0) - -2x) = (((1 + -2x) - -2x) - (-4))|((-3x + 0) - -2x) = ((1 + (-2x - -2x)) - (-4))|((-3x + 0) - -2x) = ((1 + 0) - (-4))|((-3x + 0) - -2x) = (1 - (-4))|(-3x - -2x) = (1 - (-4))|(((-3) - (-2)) * x) = (1 - (-4))|-1x = (1 - (-4))|(x * (-1)) = (1 - (-4))|((x * (-1)) * (-1)) = ((1 - (-4)) * (-1))|(x * ((-1) * (-1))) = ((1 - (-4)) * (-1))|(x * 1) = ((1 - (-4)) * (-1))|x = ((1 - (-4)) * (-1))|x = (5 * (-1))|x = (-5)",36
