,Unnamed: 0,Equation Number,eqn,soln,metrics
0,0,0,"(1 / 2) = x
","(1 / 2) = x
|x = (1 / 2)|x = [1/2]",4
1,1,2,"((-1) + 2x) = (3x + (-4))
","((-1) + 2x) = (3x + (-4))
|(2x + (-1)) = (3x + (-4))|((2x + (-1)) - (-1)) = ((3x + (-4)) - (-1))|2x = ((3x + (-4)) - (-1))|2x = (3x + ((-4) - (-1)))|-1x = (((-4) - (-1)) + 0)|-1x = (-3)|x = 3",15
2,2,3,"(-1x + (-2)) = (-3x + (-4))
","(-1x + (-2)) = (-3x + (-4))
|((-1x + (-2)) - (-2)) = ((-3x + (-4)) - (-2))|-1x = ((-3x + (-4)) - (-2))|-1x = (-3x + ((-4) - (-2)))|2x = (((-4) - (-2)) + 0)|2x = (-2)|x = (-1)",14
3,3,4,"(-1x + 2) = (-3x + 4)
","(-1x + 2) = (-3x + 4)
|((-1x + 2) - 2) = ((-3x + 4) - 2)|-1x = ((-3x + 4) - 2)|-1x = (-3x + (4 - 2))|2x = ((4 - 2) + 0)|2x = 2|x = 1",14
4,4,5,"(1x - 2) = -3x
","(1x - 2) = -3x
|-3x = (1x - 2)|-3x = (1x + (-2))|-4x = ((-2) + 0)|-4x = (-2)|x = [1/2]",9
5,5,6,"1x = (((-2) + 3x) + 4)
","1x = (((-2) + 3x) + 4)
|1x = ((3x + (-2)) + 4)|1x = (3x + ((-2) + 4))|-2x = (((-2) + 4) + 0)|-2x = 2|x = (-1)",9
6,6,9,"(-1x / x) = -2x
","(-1x / x) = -2x
|-2x = (-1x / x)|-2x = ((-1) * (x / x))|-2x = ((-1) * 1)|-2x = (-1)|x = [1/2]",11
7,7,10,"(-1x + (-2)) = ((-3) + -4x)
","(-1x + (-2)) = ((-3) + -4x)
|((-1x + (-2)) - (-2)) = (((-3) + -4x) - (-2))|-1x = (((-3) + -4x) - (-2))|-1x = ((-4x + (-3)) - (-2))|-1x = (-4x + ((-3) - (-2)))|3x = (((-3) - (-2)) + 0)|3x = (-1)|x = ([-1/3])",16
8,8,11,"((-1x - 2) + 3x) = (4x + 5x)
","((-1x - 2) + 3x) = (4x + 5x)
|(4x + 5x) = ((-1x - 2) + 3x)|(4x + 5x) = (3x + (-1x - 2))|(4x + 5x) = ((3x + -1x) - 2)|((4 + 5) * x) = ((3x + -1x) - 2)|9x = ((3x + -1x) - 2)|9x = ((3x + -1x) + (-2))|9x = (((3 + (-1)) * x) + (-2))|9x = (2x + (-2))|7x = ((-2) + 0)|7x = (-2)|x = ([-2/7])",25
9,9,12,"(1x + (-2)) = ((-3) + 4x)
","(1x + (-2)) = ((-3) + 4x)
|((1x + (-2)) - (-2)) = (((-3) + 4x) - (-2))|1x = (((-3) + 4x) - (-2))|1x = ((4x + (-3)) - (-2))|1x = (4x + ((-3) - (-2)))|-3x = (((-3) - (-2)) + 0)|-3x = (-1)|x = [1/3]",16
